Gene,Coefficient(Slope),P-Value,null_rejected
CICP27,0.3929122934862266,0.0014632079779734,True
NOC2L,-0.1498417329911651,0.0005408106038234,True
PLEKHN1,-0.2181435494208308,0.0006455984463196,True
HES4,-0.445706465158733,0.0064126693520047,True
C1orf159,-0.2094055797438449,0.0005673604344645,True
SDF4,-0.0803673904024252,0.0009910066946444,True
ACAP3,-0.1613385603098612,0.0001897453537479,True
INTS11,-0.1354405454789257,5.2630514090353006e-05,True
RP5-890O3.9,-0.1694918066140246,0.0028953876735207,True
DVL1,-0.1452085730874278,0.0002581788550198,True
ATAD3B,-0.2121425172295837,0.0017130518499403,True
RP11-345P4.9,-0.1303374115021949,0.0009889332577378,True
MIB2,-0.1814400671893423,0.0011580803468404,True
MMP23B,-0.5448734500694896,0.0001832835475666,True
SLC35E2B,0.1384706961713584,0.0008411864607647,True
PEX10,-0.1406440398974734,0.000268556457786,True
PLCH2,-0.3862207638728652,0.0023336488713802,True
RP3-395M20.2,-0.356639763029835,6.957044439554678e-05,True
PANK4,-0.1290020910272085,0.0002193109305891,True
RP3-395M20.12,-0.2431265751804898,2.0562361852993977e-05,True
TNFRSF14,-0.1564361382075742,1.4880832813268683e-05,True
RP3-395M20.9,-0.2107972543188506,0.0063380209849453,True
FAM213B,-0.3099719437126257,1.9735778596057974e-11,True
MMEL1,-0.691634486582217,8.411820495468595e-15,True
RP11-46F15.2,0.2832897918825723,0.0028335564880877,True
RP5-1092A11.2,0.0598824386829282,0.0059587501746668,True
CEP104,-0.1412687517336317,1.0535068394415594e-06,True
C1orf174,-0.1481511117007697,9.34604527724369e-06,True
AJAP1,-0.5170266908812958,6.361341035732128e-06,True
RNF207,-0.3691916929692963,0.0026926889410135,True
ACOT7,-0.2384489172255059,0.0045515328474854,True
ESPN,-0.6887259649512832,6.616667540361383e-07,True
CAMTA1,-0.1628566835344962,8.685514962656702e-07,True
PER3,-0.3725028508783696,4.466696893048819e-06,True
RP3-467L1.4,-0.2466894196451194,0.0007507884484344,True
PARK7,-0.0921393078163358,0.0074389554086281,True
RP3-477M7.6,0.0873281788314021,0.0024735161245453,True
GPR157,0.1621660793155664,0.0056500180708063,True
H6PD,0.1921773250886295,0.0014264368051613,True
KIF1B,0.2715904756457813,6.110001417599718e-05,True
PEX14,-0.173846280419202,0.000283363685188,True
CASZ1,-0.188014480814645,0.0009577820150531,True
RP4-734G22.3,-0.3475819183384939,6.782952962779795e-05,True
EXOSC10,-0.1206869991217045,0.0063112104750592,True
TNFRSF1B,-0.172531058661761,0.001091924641505,True
RP3-467K16.4,0.2877265941441584,0.0035609787768164,True
